PARK AGENCY,PARK NAME,CLEANLINESS,SAFETY,ACTIVITY,COURTESY,VISIT AGAIN,SURVEY_DATE
REGIONAL,Kenneth Hahn State Recreation Area,B,A,,A,A,01/01/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,C,B,,A,A,01/01/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,,B,A,01/03/2015
EAST,Avenue Park,A,C,A,A,A,01/03/2015
EAST,Dalton Park,A,A,,A,A,01/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,C,A,A,01/05/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,01/06/2015
SOUTH,Hacienda Heights Community Center,A,B,,A,A,01/06/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/06/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/06/2015
SOUTH,Franklin D. Roosevelt Park,A,F,F,B,F,01/06/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,01/07/2015
SOUTH,Franklin D. Roosevelt Park,A,A,,F,A,01/07/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,A,A,A,01/08/2015
SOUTH,Ladera Park,A,A,A,A,A,01/08/2015
EAST,Charles White Park,A,B,,,A,01/09/2015
NORTH,Veterans Memorial Community Regional Park,A,A,,A,A,01/09/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,01/09/2015
SOUTH,"Earvin ""Magic"" Johnson Recreation Area",C,C,F,A,A,01/09/2015
REGIONAL,Santa Fe Dam Recreational Area,A,B,,C,B,01/10/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,01/10/2015
REGIONAL,Frank G. Bonelli Regional Park,A,A,,A,A,01/10/2015
EAST,Belvedere Community Regional Park,A,C,,A,A,01/11/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,01/11/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,B,,A,A,01/11/2015
SOUTH,Ted Watkins Memorial Park,A,B,,A,B,01/11/2015
REGIONAL,Peter F. Schabarum Regional Park,B,B,,,A,01/12/2015
EAST,Allen J. Martin Park,B,A,B,B,A,01/13/2015
SOUTH,Col. Leon H. Washington Park,B,A,,,B,01/13/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,01/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/14/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,A,A,01/16/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,,A,A,01/16/2015
REGIONAL,Arboretum and Botanic Garden,A,A,,A,A,01/16/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,,A,A,01/16/2015
NORTH,San Fernando Pool,A,A,A,A,A,01/17/2015
NORTH,Veterans Memorial Community Regional Park,A,A,A,A,A,01/17/2015
GOLF,Los Amigos Golf Course,A,A,A,A,A,01/17/2015
NORTH,Jackie Robinson Park,C,A,F,F,F,01/19/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/20/2015
SOUTH,Adventure Park,A,A,A,A,A,01/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,01/21/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,01/21/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/22/2015
EAST,Saybrook Park,F,F,F,F,F,01/23/2015
SOUTH,Trailview Park,F,F,,,F,01/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,C,01/25/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,La Mirada Community Regional Park,A,A,,A,A,01/26/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,01/26/2015
SOUTH,La Mirada Community Regional Park,B,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,B,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,B,C,B,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,B,A,A,B,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,01/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,B,A,,A,A,01/26/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
EAST,Bassett Park,A,A,A,A,A,01/28/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,A,A,A,01/29/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,A,A,A,A,01/29/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,01/30/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/31/2015
SOUTH,Mary M. Bethune County Park,C,D,D,F,C,02/01/2015
REGIONAL,Castaic Lake State Recreation Area,B,B,,,A,02/01/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,C,A,A,A,02/02/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,C,,A,A,02/03/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,A,A,A,02/03/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/03/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,,A,A,02/03/2015
NORTH,Stephen Sorensen Park,A,D,A,C,B,02/03/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/03/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/03/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/03/2015
NORTH,Veterans Memorial Community Regional Park,A,A,,,A,02/03/2015
REGIONAL,Castaic Lake State Recreation Area,C,A,,B,C,02/03/2015
SOUTH,Franklin D. Roosevelt Park,F,F,F,F,F,02/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,A,,A,A,02/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,,B,A,A,02/06/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,02/07/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/07/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/08/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,C,,A,A,02/08/2015
EAST,Sunshine Park,C,C,C,C,C,02/10/2015
SOUTH,Sorensen Park,A,A,A,A,A,02/10/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/11/2015
EAST,Sunshine Park,A,A,A,A,A,02/12/2015
SOUTH,Rowland Heights Park,B,B,F,F,A,02/12/2015
EAST,Saybrook Park,C,C,,D,D,02/12/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,02/13/2015
EAST,Bassett Park,A,B,A,A,A,02/13/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,,A,A,02/13/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,02/14/2015
SOUTH,Sorensen Park,A,A,A,A,A,02/16/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,,A,A,02/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/17/2015
SOUTH,Victoria Community Regional Park,C,A,F,A,D,02/17/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,,A,A,02/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/17/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,,A,A,02/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/17/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/17/2015
EAST,Charter Oak Park,D,F,,A,A,02/18/2015
REGIONAL,Frank G. Bonelli Regional Park,A,A,,,A,02/18/2015
SOUTH,Del Aire Park,D,C,F,D,,02/18/2015
SOUTH,Alondra Community Regional Park,F,F,F,F,F,02/18/2015
EAST,Dalton Park,A,A,,A,A,02/19/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/20/2015
NORTH,Apollo Community Regional Park,C,A,,,,02/21/2015
NORTH,Dr. Richard H. Rioux Memorial Park,B,A,,A,A,02/21/2015
NORTH,Apollo Community Regional Park,,D,,D,C,02/22/2015
GOLF,Victoria Golf Course,C,A,A,,A,02/23/2015
SOUTH,Sorensen Park,A,A,A,A,A,02/24/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/24/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,02/24/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,02/24/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,02/24/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,A,A,A,02/24/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,B,A,,A,A,02/24/2015
NORTH,Jackie Robinson Park,B,B,B,C,B,02/24/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,A,A,A,02/24/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,A,A,A,02/24/2015
NORTH,Jackie Robinson Park,B,B,B,C,B,02/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/24/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,02/24/2015
GOLF,Santa Anita Golf Course,B,A,A,A,A,02/24/2015
REGIONAL,William S. Hart Regional Park,A,A,,A,A,02/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,02/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,02/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,A,,A,A,02/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,02/24/2015
EAST,Crescenta Valley Community Regional Park,B,B,,B,A,02/24/2015
REGIONAL,Whittier Narrows Recreation Area,B,C,F,B,D,02/28/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/02/2015
EAST,Charter Oak Park,B,A,,,A,03/03/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/05/2015
EAST,Pamela County Park,B,A,,B,A,03/05/2015
EAST,Pamela County Park,C,C,,B,B,03/05/2015
EAST,Pamela County Park,C,B,A,C,A,03/05/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/05/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/05/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/05/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,03/05/2015
EAST,Saybrook Park,A,A,A,A,A,03/05/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,B,,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,B,B,A,A,,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/05/2015
NORTH,West Creek Park,A,A,,A,A,03/05/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,03/05/2015
EAST,Valleydale Park,B,B,B,,B,03/05/2015
EAST,Valleydale Park,A,A,A,A,A,03/05/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,03/05/2015
NORTH,Apollo Community Regional Park,B,B,,B,A,03/05/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,03/05/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,03/05/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,03/05/2015
NORTH,Apollo Community Regional Park,A,,,,,03/05/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,03/05/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,03/05/2015
EAST,Dalton Park,A,A,,A,A,03/06/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,03/06/2015
NORTH,Apollo Community Regional Park,B,B,,,A,03/07/2015
EAST,Dalton Park,A,A,,A,A,03/08/2015
NORTH,Apollo Community Regional Park,A,A,A,A,A,03/09/2015
NORTH,Apollo Community Regional Park,B,A,,A,A,03/09/2015
NORTH,Apollo Community Regional Park,B,A,,A,A,03/09/2015
NORTH,Apollo Community Regional Park,B,A,B,C,A,03/09/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,03/09/2015
NORTH,Apollo Community Regional Park,C,A,C,B,A,03/09/2015
NORTH,George Lane Park,A,C,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,B,B,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,,A,,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,A,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,,A,A,03/09/2015
NORTH,Val Verde Community Regional Park,A,A,B,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,B,A,B,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,B,A,B,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,B,A,B,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,F,A,B,B,B,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/09/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/09/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,A,A,A,03/09/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,,A,A,03/09/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,B,B,B,B,B,03/09/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,B,B,,A,A,03/09/2015
REGIONAL,Eaton Canyon Natural Area and Nature Center,A,A,,A,A,03/09/2015
REGIONAL,Peter F. Schabarum Regional Park,A,A,,A,A,03/09/2015
EAST,Pamela County Park,A,A,,A,A,03/09/2015
EAST,Pamela County Park,A,A,A,A,A,03/09/2015
EAST,Pamela County Park,A,B,B,A,A,03/09/2015
EAST,Pamela County Park,A,A,A,A,A,03/09/2015
EAST,Pamela County Park,A,A,A,A,A,03/09/2015
GOLF,El Cariso Golf Course,A,A,,C,C,03/09/2015
NORTH,Acton County Park,A,A,,A,A,03/09/2015
NORTH,Acton County Park,A,A,,A,A,03/09/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,B,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,03/10/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/10/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/10/2015
EAST,Pamela County Park,,,,A,A,03/10/2015
EAST,Pamela County Park,B,A,A,A,A,03/10/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,A,A,A,03/10/2015
REGIONAL,Tesoro Adobe Historic Park,A,A,,,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/10/2015
REGIONAL,Whittier Narrows Recreation Area,B,B,B,B,B,03/10/2015
NORTH,Acton County Park,A,A,,A,A,03/10/2015
NORTH,Acton County Park,A,A,,A,A,03/10/2015
REGIONAL,Whittier Narrows Recreation Area,C,A,,C,A,03/10/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,B,A,A,A,03/10/2015
REGIONAL,Frank G. Bonelli Regional Park,A,F,,A,A,03/10/2015
NORTH,Acton County Park,A,A,,A,A,03/11/2015
SOUTH,Jesse Owens Community Regional Park,A,A,,A,A,03/11/2015
GOLF,Santa Anita Golf Course,F,B,,D,D,03/12/2015
NORTH,Acton County Park,A,A,A,A,A,03/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,03/14/2015
NORTH,Castaic Regional Sports Complex,A,A,A,A,A,03/15/2015
SOUTH,Bodger Park,B,C,,,,03/16/2015
GOLF,Altadena Golf Course,B,A,,A,A,03/16/2015
EAST,Charter Oak Park,A,A,F,F,,03/16/2015
SOUTH,La Mirada Community Regional Park,C,C,,D,C,03/17/2015
NORTH,Stephen Sorensen Park,A,A,,A,A,03/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,03/18/2015
NORTH,Apollo Community Regional Park,A,A,,B,A,03/18/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,03/19/2015
REGIONAL,William S. Hart Regional Park,A,A,,D,C,03/20/2015
REGIONAL,Whittier Narrows Recreation Area,B,B,,C,A,03/21/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,03/21/2015
EAST,Loma Alta Park,A,A,A,A,A,03/22/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,03/22/2015
SOUTH,La Mirada Community Regional Park,B,B,,A,A,03/22/2015
REGIONAL,Frank G. Bonelli Regional Park,A,A,A,A,A,03/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,B,A,A,A,03/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,03/23/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,A,A,03/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/23/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,03/23/2015
EAST,Belvedere Community Regional Park,B,B,A,A,A,03/23/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/23/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,03/23/2015
NORTH,George Lane Park,D,B,C,D,B,03/23/2015
NORTH,Stephen Sorensen Park,B,B,C,A,A,03/23/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,03/23/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,03/23/2015
NORTH,George Lane Park,A,A,,A,A,03/23/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,03/23/2015
NORTH,George Lane Park,A,A,A,A,A,03/23/2015
NORTH,George Lane Park,A,A,,A,A,03/23/2015
NORTH,George Lane Park,A,A,A,A,A,03/23/2015
NORTH,George Lane Park,B,A,A,A,A,03/23/2015
NORTH,George Lane Park,A,A,A,A,A,03/23/2015
NORTH,George Lane Park,A,A,B,A,A,03/23/2015
NORTH,Stephen Sorensen Park,A,A,C,B,C,03/23/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,03/23/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,,A,A,03/23/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,03/23/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,03/23/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,03/23/2015
REGIONAL,Castaic Lake State Recreation Area,A,A,A,A,A,03/23/2015
REGIONAL,Arboretum and Botanic Garden,A,A,,A,A,03/24/2015
SOUTH,Thomas S. Burton Park,A,A,,,A,03/26/2015
REGIONAL,Descanso Gardens,F,F,A,F,F,03/27/2015
SOUTH,William Steinmetz Park,D,D,,B,,03/27/2015
